Year,Atoll,Island,Treatment,Transect,Structure,Coral_cover,Area,Family,Species,Length,Abundance
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Abudefduf_vaigiensis,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,150,Acanthuridae,Acanthurus_nigrofuscus,12,66.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,150,Acanthuridae,Acanthurus_nigrofuscus,12,66.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,150,Acanthuridae,Acanthurus_nigrofuscus,13,66.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,150,Balistidae,Balistapus_undulatus,15,66.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,150,Carangidae,Caranx_melampygus,39,66.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,150,Scaridae,Chlorurus_sordidus,13,66.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
2015,Great_Chagos_Bank,Eagle,Rats,1,2,12.67,60,Pomacentridae,Chrysiptera_brownriggii,8,166.7
