MaxSizeTL,sstmean,Diet,Position,Kmax,Kmax_lowqt,Kmax_upqt
2,10,HerMac,PelgAs,2.785,1.651,4.574
2,10,HerMac,PelgDw,2.775,1.634,4.504
2,10,HerMac,BtPlAs,2.61,1.545,4.313
2,10,HerMac,BtPlDw,3.192,1.908,5.398
2,10,HerMac,BnthAs,1.985,1.151,3.257
2,10,HerMac,BnthDw,2.875,1.746,4.714
2,10,HerDet,PelgAs,2.558,1.489,4.354
2,10,HerDet,PelgDw,2.534,1.474,4.383
2,10,HerDet,BtPlAs,2.404,1.371,4.035
2,10,HerDet,BtPlDw,2.903,1.646,4.996
2,10,HerDet,BnthAs,1.861,1.055,3.215
2,10,HerDet,BnthDw,2.611,1.525,4.448
2,10,Omnivr,PelgAs,2.478,1.45,4.215
2,10,Omnivr,PelgDw,2.442,1.438,4.258
2,10,Omnivr,BtPlAs,2.35,1.353,4.064
2,10,Omnivr,BtPlDw,2.848,1.601,4.869
2,10,Omnivr,BnthAs,1.773,1.002,3.081
2,10,Omnivr,BnthDw,2.556,1.49,4.288
2,10,Plktiv,PelgAs,2.91,1.659,4.916
2,10,Plktiv,PelgDw,2.937,1.722,4.925
2,10,Plktiv,BtPlAs,2.751,1.537,4.564
2,10,Plktiv,BtPlDw,3.278,1.889,5.639
2,10,Plktiv,BnthAs,2.09,1.173,3.598
2,10,Plktiv,BnthDw,2.976,1.756,5.134
2,10,InvSes,PelgAs,2.82,1.659,4.716
2,10,InvSes,PelgDw,2.776,1.668,4.705
2,10,InvSes,BtPlAs,2.662,1.564,4.577
2,10,InvSes,BtPlDw,3.229,1.92,5.448
2,10,InvSes,BnthAs,1.985,1.151,3.419
2,10,InvSes,BnthDw,2.828,1.709,4.762
2,10,InvMob,PelgAs,2.807,1.751,4.518
2,10,InvMob,PelgDw,2.781,1.719,4.486
2,10,InvMob,BtPlAs,2.602,1.568,4.258
2,10,InvMob,BtPlDw,3.208,1.941,5.241
2,10,InvMob,BnthAs,1.945,1.142,3.16
2,10,InvMob,BnthDw,2.939,1.827,4.615
2,10,FisCep,PelgAs,2.547,1.458,4.206
2,10,FisCep,PelgDw,2.533,1.457,4.308
2,10,FisCep,BtPlAs,2.314,1.275,4.045
2,10,FisCep,BtPlDw,2.92,1.641,4.995
2,10,FisCep,BnthAs,1.821,1.006,3.039
2,10,FisCep,BnthDw,2.539,1.467,4.179
2,12,HerMac,PelgAs,2.526,1.558,4.151
2,12,HerMac,PelgDw,2.504,1.553,4.139
2,12,HerMac,BtPlAs,2.386,1.447,4.035
2,12,HerMac,BtPlDw,2.835,1.729,4.813
2,12,HerMac,BnthAs,1.803,1.058,3.033
2,12,HerMac,BnthDw,2.566,1.606,4.219
2,12,HerDet,PelgAs,2.322,1.401,3.951
2,12,HerDet,PelgDw,2.284,1.375,4.018
2,12,HerDet,BtPlAs,2.206,1.306,3.819
2,12,HerDet,BtPlDw,2.609,1.533,4.57
2,12,HerDet,BnthAs,1.71,0.984,2.954
2,12,HerDet,BnthDw,2.358,1.405,4.092
2,12,Omnivr,PelgAs,2.249,1.33,3.866
2,12,Omnivr,PelgDw,2.217,1.32,3.883
2,12,Omnivr,BtPlAs,2.135,1.252,3.737
2,12,Omnivr,BtPlDw,2.519,1.499,4.394
2,12,Omnivr,BnthAs,1.636,0.908,2.828
2,12,Omnivr,BnthDw,2.284,1.372,3.912
2,12,Plktiv,PelgAs,2.57,1.545,4.321
2,12,Plktiv,PelgDw,2.578,1.533,4.341
2,12,Plktiv,BtPlAs,2.451,1.44,4.249
2,12,Plktiv,BtPlDw,2.832,1.724,4.846
2,12,Plktiv,BnthAs,1.887,1.054,3.316
2,12,Plktiv,BnthDw,2.62,1.514,4.462
