"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lbio","~","lrare",0.764107213403924,0.120314521641801,6.35091427848432,2.14039008739064e-10,0.52829508416883,0.999919342639019,0.764107213403924,0.485155300849877,0.485155300849877
"2","lbio","~","Year",-0.0646786954472015,0.135322656888314,-0.477959101117728,0.632679314962918,-0.329906229240568,0.200548838346165,-0.0646786954472015,-0.0366271705675059,-0.073323677961831
"3","lbio","~","Treatment",-0.55686721465085,0.123816940001221,-4.49750425624603,6.87557850520548e-06,-0.7995439577292,-0.3141904715725,-0.55686721465085,-0.315350677892362,-0.631298328332741
"4","lbio","~","Structure",0.366580478074748,0.100975747035612,3.63038144145112,0.000283002677001987,0.168671650572922,0.564489305576574,0.366580478074748,0.284616286307824,0.284616286307824
"5","lbio","~","lcc",0.087546259153653,0.0738686070034343,1.18516190713577,0.23595343794267,-0.0572335501612215,0.232326068468527,0.087546259153653,0.0969454110552267,0.0969454110552267
"6","lrare","~","Treatment",-0.0303699963430503,0.107245458346591,-0.283182120821396,0.777037233163648,-0.240567232207859,0.179827239521758,-0.0303699963430503,-0.0270869669291879,-0.0542252106647991
"7","lrare","~","Year",-0.163315559527195,0.11601958227018,-1.40765512451919,0.159233215961675,-0.39070976227813,0.0640786432237396,-0.163315559527195,-0.14566097110997,-0.291597684773123
"8","lrare","~","Structure",0.301289279255312,0.0816667560367709,3.68925244342575,0.000224913961909712,0.141225378689022,0.461353179821602,0.301289279255312,0.368423743945545,0.368423743945545
"9","lrare","~","lcc",0.0431570536543821,0.0638516832489276,0.675895316434073,0.499107111564354,-0.0819899458657754,0.16830405317454,0.0431570536543821,0.075268796028099,0.075268796028099
"10","Structure","~","Year",0.106810563798695,0.146429075990268,0.729435483194568,0.465735319311442,-0.180185151431709,0.3938062790291,0.106810563798695,0.077905104113154,0.155957685976528
"11","Structure","~","lcc",0.266223949741662,0.074882403943373,3.55522707234378,0.000377652789679939,0.119457134936871,0.412990764546454,0.266223949741662,0.379705048078895,0.379705048078895
"12","lcc","~","Year",-0.816899748801002,0.181961056528423,-4.48942078259147,7.14170997562213e-06,-1.17353686618557,-0.460262631416437,-0.816899748801002,-0.417754578844861,-0.836299985275841
"13","lcc","~","Treatment",0.380704882762891,0.181961056528423,2.09223275587776,0.0364176996684233,0.0240677653783261,0.737342000147456,0.380704882762891,0.194688770802323,0.389746095914892
"14","lbio","~~","lbio",0.334967020413786,0.0493881927371859,6.78232998312527,1.18252074798875e-11,0.238167941387379,0.431766099440193,0.334967020413786,0.430494918394404,0.430494918394404
"15","lrare","~~","lrare",0.251523243857344,0.0370850790927521,6.78232998312526,1.18252074798875e-11,0.178837824471731,0.324208663242957,0.251523243857344,0.801846323017148,0.801846323017148
"16","Structure","~~","Structure",0.409920547642176,0.0604394874124491,6.78232998312527,1.18252074798875e-11,0.291461329069714,0.528379766214639,0.409920547642176,0.873946482460595,0.873946482460595
"17","lcc","~~","lcc",0.758516015947349,0.111837085166096,6.78232998312528,1.18252074798875e-11,0.539319356885862,0.977712675008836,0.758516015947349,0.79497122396421,0.79497122396421
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
