"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lprod","~","lrare",0.843128086122836,0.108521896847567,7.76919783577981,7.99360577730113e-15,0.630429076767634,1.05582709547804,0.843128086122836,0.557458284450094,0.557458284450094
"2","lprod","~","Year",-0.0521147560846527,0.122058998033014,-0.426963656301331,0.669405799301165,-0.291345996218406,0.187116484049101,-0.0521147560846527,-0.030732309066984,-0.061522795731596
"3","lprod","~","Treatment",-0.671940133418321,0.11168101703321,-6.01660113122454,1.78117232074726e-09,-0.890830904560218,-0.453049362276424,-0.671940133418321,-0.396246157636792,-0.793242426482944
"4","lprod","~","Structure",0.297534849711004,0.0910786064346545,3.26679185549983,0.00108773622801972,0.119024061336983,0.476045638085025,0.297534849711004,0.240558452674065,0.240558452674065
"5","lprod","~","lcc",-0.0227522477994753,0.0666283732979657,-0.341479863206716,0.732742361672974,-0.153341459811978,0.107836964213028,-0.0227522477994753,-0.0262365255452503,-0.0262365255452503
"6","lrare","~","Treatment",-0.030370015589735,0.10724544989974,-0.283182322589228,0.77703707850348,-0.24056723489902,0.17982720371955,-0.030370015589735,-0.0270869858117715,-0.054225248465712
"7","lrare","~","Year",-0.163315551694194,0.116019570675342,-1.40765519768386,0.159233194286347,-0.390709731719664,0.064078628331275,-0.163315551694194,-0.145660973354175,-0.291597689265782
"8","lrare","~","Structure",0.30128928103595,0.0816667504992965,3.68925271538195,0.000224913721507791,0.14122539132291,0.46135317074899,0.30128928103595,0.368423771676316,0.368423771676316
"9","lrare","~","lcc",0.0431570501302136,0.0638516793654397,0.675895302349287,0.499107120507492,-0.0819899417784475,0.168304042038875,0.0431570501302136,0.0752687922539888,0.0752687922539888
"10","Structure","~","Year",0.106810644304237,0.146429071120448,0.72943605724561,0.465734968275474,-0.180185061381496,0.393806349989969,0.106810644304237,0.0779051623654054,0.155957802591305
"11","Structure","~","lcc",0.266223982851952,0.0748824038381504,3.5552275195033,0.000377652147377949,0.119457168253394,0.412990797450511,0.266223982851952,0.379705080934329,0.379705080934329
"12","lcc","~","Year",-0.816899604030214,0.181961057339519,-4.48941996696564,7.14173731886092e-06,-1.1735367230045,-0.46026248505593,-0.816899604030214,-0.417754518116816,-0.83629986370479
"13","lcc","~","Treatment",0.380704825750902,0.181961057339519,2.09223243323185,0.0364177285165628,0.0240677067766181,0.737341944725186,0.380704825750902,0.194688747848177,0.389746049963147
"14","lprod","~~","lprod",0.272521419724257,0.0401810912182542,6.78232998312526,1.18252074798875e-11,0.19376792807696,0.351274911371554,0.272521419724257,0.379796841709933,0.379796841709933
"15","lrare","~~","lrare",0.251523207759928,0.0370850737704785,6.78232998312526,1.18252074798875e-11,0.17883779880578,0.324208616714077,0.251523207759928,0.801846309565046,0.801846309565046
"16","Structure","~~","Structure",0.409920544402261,0.0604394869347497,6.78232998312527,1.18252074798875e-11,0.291461326766073,0.52837976203845,0.409920544402261,0.873946465084634,0.873946465084634
"17","lcc","~~","lcc",0.758516022709558,0.111837086163129,6.78232998312528,1.18252074798875e-11,0.539319361693921,0.977712683725194,0.758516022709558,0.794971281694303,0.794971281694303
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
