"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lprod","~","lrare",0.869963834767733,0.107246516239919,8.1118143998408,4.44089209850063e-16,0.659764525470102,1.08016314406536,0.869963834767733,0.598272602411543,0.598272602411543
"2","lprod","~","Year",-0.0490684909134025,0.120624541116095,-0.406786964405333,0.684164461708549,-0.285488247152619,0.187351265325814,-0.0490684909134025,-0.0300965180045116,-0.0602500100265191
"3","lprod","~","Treatment",-0.38489027004976,0.110368532601779,-3.4873189031015,0.00048788921757259,-0.601208618975782,-0.168571921123737,-0.38489027004976,-0.236075263915441,-0.472597428572512
"4","lprod","~","Structure",0.301229019921807,0.0900082260791703,3.34668322045197,0.000817846121746735,0.124816138494294,0.477641901349319,0.301229019921807,0.253313707161494,0.253313707161494
"5","lprod","~","lcc",-0.00350203955210359,0.0658453435808657,-0.0531858345883287,0.957583842001628,-0.132556541520266,0.125552462416059,-0.00350203955210359,-0.00420031811186056,-0.00420031811186056
"6","lrare","~","Treatment",-0.0303699854881315,0.107245472426305,-0.283181982428216,0.777037339245542,-0.240567248948672,0.179827277972409,-0.0303699854881315,-0.0270869570968937,-0.0542251909815977
"7","lrare","~","Year",-0.163315532074312,0.116019586308305,-1.40765483890216,0.159233300576903,-0.390709742739826,0.0640786785912021,-0.163315532074312,-0.145660945813821,-0.291597634132939
"8","lrare","~","Structure",0.301289288306714,0.0816667519534803,3.68925273871963,0.000224913700877849,0.141225395743526,0.461353180869901,0.301289288306714,0.368423782846799,0.368423782846799
"9","lrare","~","lcc",0.0431570558411716,0.0638516852955689,0.675895329017519,0.499107103574491,-0.0819899476903292,0.168304059372672,0.0431570558411716,0.0752688065298741,0.0752688065298741
"10","Structure","~","Year",0.106810987097269,0.146429080907283,0.729438349509958,0.465733566542292,-0.180184737770307,0.393806711964845,0.106810987097269,0.077905406537961,0.155958291398645
"11","Structure","~","lcc",0.266224021618443,0.074882399387452,3.55522824850954,0.000377651100232024,0.119457215743093,0.412990827493793,0.266224021618443,0.379705155646738,0.379705155646738
"12","lcc","~","Year",-0.816899752127917,0.181961057553297,-4.48942077558901,7.14171021032328e-06,-1.1735368715212,-0.460262632734635,-0.816899752127917,-0.417754541101615,-0.836299909717901
"13","lcc","~","Treatment",0.380705876039364,0.181961057553297,2.09223820282455,0.0364172126536275,0.0240687566460821,0.737342995432645,0.380705876039364,0.194689260371582,0.389747075980186
"14","lprod","~~","lprod",0.266153603975984,0.0392422080078949,6.78232998312527,1.18252074798875e-11,0.189240289606681,0.343066918345287,0.266153603975984,0.40127416081101,0.40127416081101
"15","lrare","~~","lrare",0.251523250416286,0.0370850800598152,6.78232998312527,1.18252074798875e-11,0.178837829135264,0.324208671697308,0.251523250416286,0.801846334998409,0.801846334998409
"16","Structure","~~","Structure",0.409920599323211,0.0604394950324019,6.78232998312527,1.18252074798875e-11,0.291461365815915,0.528379832830506,0.409920599323211,0.873946450866305,0.873946450866305
"17","lcc","~~","lcc",0.758516024491852,0.111837086425914,6.78232998312527,1.18252074798875e-11,0.539319362961166,0.977712686022538,0.758516024491852,0.794971082796213,0.794971082796213
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
