"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lprod","~","lrare",0.882832892438457,0.110144024754167,8.01525906111449,1.11022302462516e-15,0.666954570808001,1.09871121406891,0.882832892438457,0.605671713875741,0.605671713875741
"2","lprod","~","Year",0.00965196290773952,0.123883488526137,0.0779116169763267,0.937898358492011,-0.233155212882669,0.252459138698148,0.00965196290773952,0.00590595435192931,0.0118230889322999
"3","lprod","~","Treatment",-0.305467895134887,0.113350379209284,-2.69489963126534,0.00704098366889006,-0.527630556019043,-0.083305234250732,-0.305467895134887,-0.18691321774558,-0.374180270341306
"4","lprod","~","Structure",0.299033410162928,0.092440007822847,3.23489165790637,0.0012168889639057,0.117854324099547,0.480212496226308,0.299033410162928,0.250866375594165,0.250866375594165
"5","lprod","~","lcc",0.00176015293065777,0.0676243089465421,0.0260284054370034,0.979234681859952,-0.130781057083974,0.13430136294529,0.00176015293065777,0.00210606803515546,0.00210606803515546
"6","lrare","~","Treatment",-0.0303700291304423,0.107245462558858,-0.283182415421769,0.777037007344981,-0.240567273251143,0.179827214990258,-0.0303700291304423,-0.027086997279043,-0.054225271421963
"7","lrare","~","Year",-0.163315510188884,0.116019587726336,-1.40765463306169,0.159233361558013,-0.390709723633688,0.0640787032559196,-0.163315510188884,-0.14566093305711,-0.291597608595367
"8","lrare","~","Structure",0.301289245856573,0.0816667585621468,3.68925192037955,0.000224914424269196,0.141225340340637,0.461353151372509,0.301289245856573,0.368423722386915,0.368423722386915
"9","lrare","~","lcc",0.0431570631590209,0.0638516887307878,0.675895407261352,0.499107053893549,-0.0819899471053852,0.168304073423427,0.0431570631590209,0.0752688170948205,0.0752688170948205
"10","Structure","~","Year",0.106811229582429,0.146429071722138,0.72944005125644,0.465732525915788,-0.180184477282594,0.393806936447452,0.106811229582429,0.0779055888260991,0.155958656320001
"11","Structure","~","lcc",0.266224095955875,0.0748824003535576,3.55522919536362,0.000377649740173069,0.119457288186993,0.412990903724758,0.266224095955875,0.379705259396526,0.379705259396526
"12","lcc","~","Year",-0.816899780142492,0.181961052926087,-4.48942104371269,7.14170122173563e-06,-1.17353689046661,-0.460262669818375,-0.816899780142492,-0.417754587022456,-0.836300001646511
"13","lcc","~","Treatment",0.380705194118767,0.181961052926087,2.09223450841105,0.0364175429727605,0.0240680837946508,0.737342304442884,0.380705194118767,0.194688926368236,0.38974640734121
"14","lprod","~~","lprod",0.280729361357255,0.0413912861886287,6.78232998312527,1.18252074798875e-11,0.199603931153753,0.361854791560758,0.280729361357255,0.42122919277956,0.42122919277956
"15","lrare","~~","lrare",0.251523244476885,0.0370850791840983,6.78232998312526,1.18252074798875e-11,0.178837824912236,0.324208664041533,0.251523244476885,0.801846390521527,0.801846390521527
"16","Structure","~~","Structure",0.409920523299981,0.0604394838233882,6.78232998312527,1.18252074798875e-11,0.291461311761949,0.528379734838013,0.409920523299981,0.873946410505561,0.873946410505561
"17","lcc","~~","lcc",0.758515985914226,0.111837080737954,6.78232998312528,1.18252074798875e-11,0.539319335531739,0.977712636296714,0.758515985914226,0.794971162610627,0.794971162610627
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
