"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lprod","~","lrich",1.6448352683253,0.156956896286175,10.4795348738695,0,1.3372054044792,1.95246513217139,1.6448352683253,0.79152832422741,0.79152832422741
"2","lprod","~","Year",0.145770465537615,0.110319886355503,1.3213435070797,0.186386853438478,-0.0704525384977238,0.361993469572953,0.145770465537615,0.0894093823210091,0.178988020491213
"3","lprod","~","Treatment",-0.211431015512305,0.0993975077731699,-2.12712592346682,0.0334096218743523,-0.406246550900758,-0.0166154801238518,-0.211431015512305,-0.129682761392985,-0.259611017893259
"4","lprod","~","Structure",0.0757652759468151,0.0876516538137427,0.864390717690441,0.387373290277119,-0.0960288087134934,0.247559360607124,0.0757652759468151,0.0637135866499381,0.0637135866499381
"5","lprod","~","lcc",0.00112662666561389,0.0581642977000742,0.0193697286851699,0.984546158886346,-0.112873302012597,0.115126555343825,0.00112662666561389,0.00135126675611464,0.00135126675611464
"6","lrich","~","Treatment",-0.121519841983744,0.0647969429923054,-1.8753946771559,0.0607384468738896,-0.248519516556957,0.00547983258946992,-0.121519841983744,-0.154887617371553,-0.310068443738935
"7","lrich","~","Year",-0.204833596982261,0.0700982064409657,-2.92209469231948,0.00347685816563548,-0.342223556987408,-0.0674436369771149,-0.204833596982261,-0.261078250895616,-0.522650734274607
"8","lrich","~","Structure",0.296427548960774,0.0493424732236012,6.00755352528598,1.88343629581311e-09,0.199718078534384,0.393137019387165,0.296427548960774,0.5180078682407,0.5180078682407
"9","lrich","~","lcc",0.020011955797178,0.0385787355112547,0.518730215803465,0.603948887675065,-0.0556009763739777,0.0956248879683336,0.020011955797178,0.0498777151096354,0.0498777151096354
"10","Structure","~","Year",0.106810832815962,0.146429073740273,0.729437331587689,0.46573418900748,-0.180184878004533,0.393806543636457,0.106810832815962,0.0779053011706733,0.155958080464605
"11","Structure","~","lcc",0.26622398543561,0.0748824082040151,3.55522734672595,0.000377652395556094,0.119457162280114,0.412990808591106,0.26622398543561,0.379705075656116,0.379705075656116
"12","lcc","~","Year",-0.816899649266595,0.181961045074174,-4.48942051818617,7.14171883942072e-06,-1.17353674420125,-0.460262554331945,-0.816899649266595,-0.417754558132356,-0.836299943811622
"13","lcc","~","Treatment",0.380704867100077,0.181961045074174,2.09223280150368,0.0364176955889595,0.0240677721654265,0.737341962034728,0.380704867100077,0.194688776861412,0.38974610804454
"14","lprod","~~","lprod",0.208102822834224,0.030683087280034,6.78232998312526,1.18252074798875e-11,0.147965076830858,0.268240568837589,0.208102822834224,0.313752228934742,0.313752228934742
"15","lrich","~~","lrich",0.0918183194143729,0.0135378726253103,6.78232998312528,1.18252074798875e-11,0.065284576641474,0.118352062187272,0.0918183194143729,0.597791982704374,0.597791982704374
"16","Structure","~~","Structure",0.409920543493247,0.0604394868007229,6.78232998312527,1.18252074798875e-11,0.291461326119746,0.528379760866748,0.409920543493247,0.873946492521478,0.873946492521478
"17","lcc","~~","lcc",0.758515920451853,0.111837071086053,6.78232998312527,1.18252074798875e-11,0.539319288986742,0.977712551916963,0.758515920451853,0.794971238773944,0.794971238773944
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
