"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"1","lprod","~","lrich",1.65718942363323,0.163061933082955,10.1629447922107,0,1.33759390754115,1.9767849397253,1.65718942363323,0.795567707632095,0.795567707632095
"2","lprod","~","Year",0.204920057693776,0.114610928969992,1.78796262743346,0.0737820375863514,-0.0197132353220865,0.429553350709638,0.204920057693776,0.125388836831314,0.251015040183975
"3","lprod","~","Treatment",-0.130898259235135,0.103263696941962,-1.26761159160034,0.204936690365402,-0.33329138615184,0.0714948676815695,-0.130898259235135,-0.0800955292198121,-0.160342682759834
"4","lprod","~","Structure",0.0737847197251109,0.0910609749346541,0.810278165570478,0.417780321488311,-0.104691511543916,0.252260950994138,0.0737847197251109,0.0618997908090133,0.0618997908090133
"5","lprod","~","lcc",0.00669721306879704,0.0604266777630821,0.110832058235191,0.911749523156701,-0.111736899052251,0.125131325189845,0.00669721306879704,0.00801338433889559,0.00801338433889559
"6","lrich","~","Treatment",-0.121519785768667,0.0647969425191576,-1.87539382329249,0.0607385642552458,-0.248519459414528,0.00547988787719438,-0.121519785768667,-0.154887512732595,-0.310068234262932
"7","lrich","~","Year",-0.204833839595229,0.0700982062511113,-2.92209816127759,0.00347681944028433,-0.342223799228268,-0.0674438799621909,-0.204833839595229,-0.261078504522453,-0.522651242008409
"8","lrich","~","Structure",0.296427623424862,0.0493424678312037,6.00755569094994,1.88341120477276e-09,0.199718163567377,0.393137083282348,0.296427623424862,0.518007953291559,0.518007953291559
"9","lrich","~","lcc",0.0200119155108994,0.0385787397167009,0.518729114995849,0.603949655427861,-0.0556010249027792,0.0956248559245781,0.0200119155108994,0.0498775972196852,0.0498775972196852
"10","Structure","~","Year",0.1068105512792,0.146429092873635,0.729435313591504,0.465735423024853,-0.180185197041996,0.393806299600395,0.1068105512792,0.077905086011214,0.15595764973838
"11","Structure","~","lcc",0.2662240073972,0.0748824282842036,3.5552266866506,0.00037765334369233,0.119457144885258,0.412990869909143,0.2662240073972,0.379705006944572,0.379705006944572
"12","lcc","~","Year",-0.816899511937679,0.181961026501454,-4.48942022170419,7.14172877880337e-06,-1.17353657047047,-0.460262453404891,-0.816899511937679,-0.417754545340684,-0.836299918204062
"13","lcc","~","Treatment",0.38070455958669,0.181961026501454,2.09223132506151,0.0364178275994873,0.0240675010539024,0.737341618119478,0.38070455958669,0.194688646369758,0.389745846814206
"14","lprod","~~","lprod",0.224606521198131,0.0331164248505989,6.78232998312524,1.18252074798875e-11,0.15969952119423,0.289513521202032,0.224606521198131,0.337017855339386,0.337017855339386
"15","lrich","~~","lrich",0.0918183239593211,0.0135378732954264,6.78232998312525,1.18252074798875e-11,0.0652845798730188,0.118352068045623,0.0918183239593211,0.59779175765924,0.59779175765924
"16","Structure","~~","Structure",0.409920653380495,0.0604395030027137,6.78232998312528,1.18252074798875e-11,0.291461404251676,0.528379902509315,0.409920653380495,0.873946506629463,0.873946506629463
"17","lcc","~~","lcc",0.758515765608785,0.111837048255689,6.78232998312528,1.18252074798875e-11,0.539319178890367,0.977712352327203,0.758515765608785,0.794971295089836,0.794971295089836
"18","Year","~~","Year",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
"19","Year","~~","Treatment",0.0113421550094518,0,NA,NA,0.0113421550094518,0.0113421550094518,0.0113421550094518,0.0454545454545455,0.0113421550094518
"20","Treatment","~~","Treatment",0.24952741020794,0,NA,NA,0.24952741020794,0.24952741020794,0.24952741020794,1,0.24952741020794
